"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"juegos olímpicos de invierno 2026","2m+","4 February 2026 at 04:40:00 UTC+5:30",,"juegos olímpicos de invierno 2026,olimpiadas de invierno 2026,juegos olímpicos de invierno 2026 donde son,xogos olímpicos de inverno 2026,juegos olímpicos de invierno milán-cortina 2026,juegos olimpicos de invierno,juegos olímpicos de invierno,laura pausini,juegos olimpicos,jjoo invierno,juegos olimpicos invierno 2026,teledeporte","./explore?q=juegos%20ol%C3%ADmpicos%20de%20invierno%202026&geo=ES"
"barcelona - r.c.d. mallorca","200k+","7 February 2026 at 19:50:00 UTC+5:30",,"barcelona - r.c.d. mallorca,barcelona - mallorca,barcelona mallorca,barcelona vs mallorca,barça mallorca,barca mallorca,barcelona contra r.c.d. mallorca,lamine yamal,resultado barcelona mallorca,fc barcelona,barça hoy,fcb,marc casado,barsa mallorca,cómo va el barça,dónde mirar fc barcelona contra r.c.d. mallorca,mallorca barcelona,mallorca fc,barça - mallorca,fcbarcelona,alineaciones de fc barcelona contra r.c.d. mallorca,mallorca,barcelona fc,cómo va el barcelona,fc barcelona – mallorca,barcelona contra mallorca,fc barcelona contra r.c.d. mallorca,donde ver el barça hoy,rcd mallorca,barca vs mallorca,barca fc,barcelona – mallorca","./explore?q=barcelona%20-%20r.c.d.%20mallorca&geo=ES"
"2026 winter olympics","100k+","4 February 2026 at 04:50:00 UTC+5:30",,"2026 winter olympics,olympische winterspiele 2026,mariah carey,cortina,andrea bocelli,cortina italia,nessun dorma","./explore?q=2026%20winter%20olympics&geo=ES"
"jocs olímpics d'hivern 2026","100k+","4 February 2026 at 05:00:00 UTC+5:30",,"jocs olímpics d'hivern 2026","./explore?q=jocs%20ol%C3%ADmpics%20d%27hivern%202026&geo=ES"
"grazalema","200k+","2 February 2026 at 20:00:00 UTC+5:30",,"grazalema,grazalema ultima hora,ronda,canal sur directo,grazalema habitantes,grazalema cadiz,alcalde de grazalema,desalojo grazalema,alcalde de grazalema cadiz,seismo,presa de grazalema,alcalde grazalema,desalojos de grazalema,cadiz,acuifero,grazalema desalojo,sierra de grazalema,desalojan grazalema,grazalema cádiz,presa grazalema","./explore?q=grazalema&geo=ES"
"rayo vallecano - real oviedo","100k+","7 February 2026 at 17:40:00 UTC+5:30",,"rayo vallecano - real oviedo,rayo oviedo,suspendido rayo vallecano real oviedo,rayo vallecano,rayo vallecano contra real oviedo,rayo vallecano oviedo,rayo vallecano vs real oviedo,rayo oviedo suspendido,rayo vallecano real oviedo,rayo – real oviedo,aplazado rayo oviedo,rayo","./explore?q=rayo%20vallecano%20-%20real%20oviedo&geo=ES"
"celta de vigo - osasuna","100k+","7 February 2026 at 00:40:00 UTC+5:30",,"celta de vigo - osasuna,celta osasuna,celta - osasuna,celta de vigo,osasuna,celta de vigo contra osasuna,celta hoy,osasuna hoy,celta vigo vs osasuna,borja iglesias,budimir,osasuna celta,ante budimir,osasuna fc,raúl garcía de haro,raul moro,celta vs,club atlético osasuna,partido celta osasuna,victor muñoz,celta vigo","./explore?q=celta%20de%20vigo%20-%20osasuna&geo=ES"
"fernando esteso","200k+","1 February 2026 at 16:40:00 UTC+5:30",,"fernando esteso,esteso,andres pajares,andrés pajares,pajares,pajares actor,muere fernando esteso,de qué ha muerto fernando esteso,fernando esteso hijos,edad de fernando esteso,fernando esteso edad,fernando esteso muerte,fallece fernando esteso,barbara rey,edad fernando esteso,de que ha muerto fernando esteso,qué edad tenía fernando esteso,dónde nació fernando esteso,manuel velasco,ha fallecido fernando esteso,hijos de fernando esteso,los bingueros,qué edad tiene fernando esteso,mari cielo pajares","./explore?q=fernando%20esteso&geo=ES"
"real zaragoza - eibar","10k+","7 February 2026 at 22:10:00 UTC+5:30",,"real zaragoza - eibar,real zaragoza hoy,zaragoza fc,zaragoza eibar","./explore?q=real%20zaragoza%20-%20eibar&geo=ES"
"u. d. las palmas - burgos","20k+","7 February 2026 at 20:00:00 UTC+5:30",,"u. d. las palmas - burgos,las palmas,burgos cf,ud las palmas,las palmas burgos","./explore?q=u.%20d.%20las%20palmas%20-%20burgos&geo=ES"
"arsenal - sunderland afc","20k+","7 February 2026 at 19:40:00 UTC+5:30",,"arsenal - sunderland afc,arsenal vs sunderland,premier league,gyokeres,arsenal - sunderland,arsenal – sunderland","./explore?q=arsenal%20-%20sunderland%20afc&geo=ES"
"manchester united - tottenham","50k+","7 February 2026 at 17:10:00 UTC+5:30",,"manchester united - tottenham,man united,manchester united,man united vs tottenham,united,man utd,manchester united – tottenham,united manchester,manchester united contra tottenham,manchester united football club,manu - tottenham","./explore?q=manchester%20united%20-%20tottenham&geo=ES"
"wolves - chelsea","10k+","7 February 2026 at 19:40:00 UTC+5:30",,"wolves - chelsea,wolves vs chelsea,cole palmer","./explore?q=wolves%20-%20chelsea&geo=ES"
"jeux olympiques d'hiver 2026","10k+","4 February 2026 at 06:00:00 UTC+5:30",,"jeux olympiques d'hiver 2026","./explore?q=jeux%20olympiques%20d%27hiver%202026&geo=ES"
"sevilla girona","5k+","7 February 2026 at 17:50:00 UTC+5:30",,"sevilla girona,girona sevilla,sevilla vs girona,sevilla girona suspendido,sevilla contra girona","./explore?q=sevilla%20girona&geo=ES"
"salvador netflix","10k+","6 February 2026 at 19:10:00 UTC+5:30",,"salvador netflix,salvador serie,serie salvador netflix,luis tosar,serie salvador,claudia salas,salvador serie netflix","./explore?q=salvador%20netflix&geo=ES"
