"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"jeux olympiques d'hiver 2026","2m+","4 February 2026 at 04:30:00 UTC+5:30",,"jeux olympiques d'hiver 2026,jo 2026,programme jo 2026,programme jo,cortina,jo hiver,jo,jeux olympiques,programme jo hiver 2026,jeux olympiques d'hiver,programme jo aujourd'hui,tableau des medailles jo 2026,jeux olympiques d'hiver de 2026 sites,medailles jo hiver 2026,ceremonie ouverture jo 2026,jeux olympiques d'hiver de milan-cortina 2026,ceremonie ouverture jo,alberto tomba,jo d'hiver,jeux olympiques milan cortina,milan,cortina d'ampezzo,president italie,ouverture jo 2026,mariah carey jo,deborah compagnoni,jeux olympiques d'hiver 2026 pays,ouverture jo hiver 2026,jo hiver 2026,programme jeux olympiques 2026,jo programme,stade san siro,president italien,cortina italie,cérémonie d'ouverture jo 2026,programme jeux olympiques d hiver,anneaux olympiques,président italien,france,ski alpinisme,andrea bocelli jo 2026,ceremonie ouverture jo hiver,programme tv jo 2026,cérémonie ouverture jo hiver 2026,ouverture des jo d hiver,jo milan,ceremonie d'ouverture des jo 2026,ceremonie ouverture jo 2026 diffusion,jo hiver france,ceremonie ouverture jo 2026 heure,programme des jo d hiver 2026,hymne italien,france television,mongolie,programme tv jo,meteo milan,ou se passe les jo d hiver 2026,horaire ceremonie ouverture jo 2026,stade milan,meloni italie,jeux olympiques cérémonie,mariah carey jo 2026,jeux olympiques d'hiver de 2026,ceremonie jo hiver 2026,stade de milan,ordre de passage ceremonie d ouverture,flamme olympique,ceremonie jo,programme tv jo hiver 2026,ouverture jo,zlatan,andrea bocelli jo,ski alpinisme jo,zlatan ibrahimović,ceremonie ouverture jo 2026 tv,d,combien de pays au jo 2026,tenue jo 2026 france,pays participants jeux olympiques 2026,ouverture des jo d hiver 2026,cortina d'ampezzo jo,dj ceremonie ouverture jo,stade de san siro,passage france jo,combien de pays aux jo 2026,president republique italie,jeux olympiques d'hiver 2026 programme,combien de pays participent aux jeux olympiques d hiver 2026,président italie,jeux olympiques hiver,jeux olympique hiver 2026,jo d'hiver 2026,ceremonie ouverture jo heure,programme télé de ce soir","./explore?q=jeux%20olympiques%20d%27hiver%202026&geo=FR"
"jack lang","200k+","1 February 2026 at 00:20:00 UTC+5:30",,"jack lang,caroline lang,epstein jeffrey,jacques lang,institut du monde arabe,lang jack","./explore?q=jack%20lang&geo=FR"
"lens – rennes","100k+","7 February 2026 at 20:40:00 UTC+5:30",,"lens – rennes,lens rennes,rc lens,lens foot,match lens,rennes lens,allan saint-maximin,saint maximin,où regarder racing club de lens – stade rennais football club,allan saint maximin,ruben aguilar,rennes foot,rcl,saint maximin lens,lens match,racing club de lens,lens renne,rclens,srfc,lens vs rennes,racing club de lens – stade rennais football club : temps forts,lens rennes chaine,stade rennais football club,odsonne édouard,lens rennes quelle chaine","./explore?q=lens%20%E2%80%93%20rennes&geo=FR"
"2026 winter olympics","100k+","4 February 2026 at 04:50:00 UTC+5:30",,"2026 winter olympics,lollobrigida,milan cortina","./explore?q=2026%20winter%20olympics&geo=FR"
"tournoi des 6 nations","200k+","5 February 2026 at 11:30:00 UTC+5:30",,"tournoi des 6 nations,6 nations,tournoi des 6 nations 2026,italie ecosse,6 nations 2026,rugby 6 nations,italie ecosse rugby,ecosse italie,tournoi des six nations,tournois des 6 nations,tournoi 6 nations,rugby italie ecosse,italie – écosse,match 6 nations,italie rugby,ecosse italie rugby,gonzalo quesada,italie écosse,tournois des 6 nations 2026,italie ecosse chaine,tournoi 6 nations 2026,rugby italie ecosse 2026,match tournoi des 6 nations,ecosse,match italie ecosse,quesada rugby,match 6 nations 2026","./explore?q=tournoi%20des%206%20nations&geo=FR"
"barcelone – majorque","50k+","7 February 2026 at 19:50:00 UTC+5:30",,"barcelone – majorque","./explore?q=barcelone%20%E2%80%93%20majorque&geo=FR"
"france irlande","500k+","2 February 2026 at 01:20:00 UTC+5:30",,"france irlande,france irlande rugby,rugby france irlande,6 nation,rugby france,france – irlande,louis bielle-biarrey,antoine dupont,france rugby,match france irlande,france irlande 2026,tournoi des six nations 2026,match rugby france irlande,bielle biarrey,mickael guillard,france 2,match rugby france,guillard,equipe de france rugby,france irlande rugby six nations,xv de france,resultat france irlande,irlande france,guillard rugby,france irlande rugby score,resultat rugby,composition equipe de france rugby,tournois des 6 nations,france irlande 6 nations,resume france irlande,resultat rugby france irlande,thomas ramos,score france irlande,calendrier tournoi des 6 nations 2026,charles ollivon,match rugby aujourd'hui,tournoi des six nations,calendrier 6 nations 2026,rugby france irlande 2026,tournoi 6 nations,france irlande chaine,dupont,france irlande rugby match,france irlande 6 nations 2026,fabien galthié,france irlande composition,ollivon,15 de france,france rugby match,oscar jegou,ramos rugby,matthieu lartot,jegou,france angleterre 6 nations,tournois des 6 nations 2026,compo france irlande,match france rugby,match de rugby,france irlande direct,dupont antoine,notes france irlande,resume france irlande 2026,tf1 direct,louis bielle biarrey,match 6 nations,irlande,dupont rugby,france irlande score,match france,resultat france irlande rugby,mickael guillard rugby,guillard mickael,james lowe,france irlande resume,france irlande quelle chaine,mauvaka,match tournoi des 6 nations,jegou rugby,joueur rugby france,chaine france irlande,auradou,france irlande rugby heure,résumé france irlande,irlande rugby,france irlande rugby direct,six nations 2025,match france irlande rugby,résultat france - irlande,france irland,rugby match,irlande france rugby,france irlande rugby resultat,rugby direct,calendrier tournoi des 6 nations,ollivon charles,quelle chaine france irlande,heure match france irlande,france irlande heure,calendrier 6 nations,auradou rugby,france irlande rugby aujourd'hui,match 6 nations 2026,lbb rugby,tournoi 6 nations 2025,france irlande rugby 2026,vainqueur tournoi des 6 nations 2025,tournoi 6 nations 2026,france angleterre,tournoi des 6 nations 2026 calendrier,fabien galtier,ou regarder france irlande,diffusion france irlande,match france irlande 2026,ollivon rugby,programme tournoi des 6 nations,equipe france rugby,pourquoi france irlande un jeudi,note france irlande,score rugby,joueur equipe de france rugby,calendrier six nations 2026,programme tournoi des 6 nations 2026,france irlande rugby resultats,france irlande rugby chaine,blessure antoine dupont,composition france irlande,replay france irlande,rugby guillard,équipe de france de rugby à xv,lucu,score rugby france irlande,match irlande france,irlande france 2025,france tv sport,équipe france rugby joueurs,france irlande 2026 chaine,match equipe de france rugby,c,ramos thomas,sur quelle chaine france irlande,france irlande stade,france","./explore?q=france%20irlande&geo=FR"
"angleterre pays de galles","20k+","7 February 2026 at 17:00:00 UTC+5:30",,"angleterre pays de galles,match rugby,angleterre – pays de galles,angleterre pays de galles rugby,rugby angleterre pays de galles,pays de galles angleterre,angleterre,angleterre rugby,angleterre pays de galles chaine,match angleterre pays de galles,arundell,angleterre pays de galles quelle chaine,angleterre pays de galles sur quelle chaîne","./explore?q=angleterre%20pays%20de%20galles&geo=FR"
"manchester united – tottenham","20k+","7 February 2026 at 17:10:00 UTC+5:30",,"manchester united – tottenham,united,manchester united - tottenham","./explore?q=manchester%20united%20%E2%80%93%20tottenham&geo=FR"
"brest – lorient","10k+","7 February 2026 at 22:40:00 UTC+5:30",,"brest – lorient,brest lorient,brest foot","./explore?q=brest%20%E2%80%93%20lorient&geo=FR"
