"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"2026 winter olympics","2m+","4 February 2026 at 04:30:00 UTC+5:30",,"2026 winter olympics","./explore?q=2026%20winter%20olympics&geo=GB"
"six nations","500k+","4 February 2026 at 23:50:00 UTC+5:30",,"six nations,6 nations,rugby today,six nations 2026,rugby six nations,italy vs scotland,scotland rugby,scotland vs italy,6 nations 2026,scotland v italy,scotland italy,allianz stadium,twickenham stadium,six nations today,italy v scotland,italy scotland,italy v scotland 2026,scotland rugby today,6 nations today,scotland italy six nations 2026,italy scotland six nations 2026,scotland,scotland v italy 2026,rugby six nations 2026,six nations rugby,six nations results,scotland rugby score,louis lynagh,m6n,6 nations results,rugby results,italy rugby,italy v scotland rugby 2026,nations championship,gregor townsend,six nationa,finn russell,italy,lynagh,italy vs scotland rugby,van der merwe,sione tuipulotu,rugby 6 nations,scottish rugby,duhan van der merwe,6nations,scotland italy rugby,6 nations rugby,six nations 2026 where to watch,scotland italy score,sox nations,lynagh rugby,scotland rugby fixtures,scotland v italy kick off time,jack dempsey rugby,lynagh italy rugby,lynagh italy,italy scotland kick off time,scotland italy kick off time,italy v scotland kick off,rugby kick off today,six nations kick off times","./explore?q=six%20nations&geo=GB"
"man united vs tottenham","200k+","7 February 2026 at 16:00:00 UTC+5:30",,"man united vs tottenham,man utd,romero,man utd vs tottenham,man united,man u vs tottenham,bruno fernandes,manchester united vs tottenham hotspur,manchester united,united score,manchester united f.c. games,mufc,man united fixtures,mbeumo,manchester united f.c. standings,bryan mbeumo,tottenham,man u score,man united score,tottenham fixtures,manchester united f.c. vs tottenham lineups,manchester united vs tottenham,man u vs,united game,man u game,manutd,michael carrick,manchester united - tottenham,man u tottenham,manchester united f.c. vs tottenham timeline,spurs score,football streams,man itd,romero tottenham,manchester united f.c. vs tottenham standings,united fixtures,utd,united vs,tottenham hotspur f.c.,manchester united score,tottenham score,man utd vs,man utd tottenham,carrick,man united table,man utd results,man u match today,what channel is man utd v spurs on,talksport live,what channel is man utd on,man uts,united manchester,archie gray,man united vs tottenham channel,manunited,michael oliver,man united game,manchester united game today,man united vs,man u score today,0","./explore?q=man%20united%20vs%20tottenham&geo=GB"
"england vs wales","200k+","6 February 2026 at 21:40:00 UTC+5:30",,"england vs wales,england rugby,rugby,england v wales,england wales,wales vs england,england v wales 6 nations 2026,wales v england,wales rugby,england rugby today,england vs wales rugby,england wales six nations 2026,henry arundell,wales v england six nations 2026,maro itoje,wales england,rugby scores,england wales rugby,wales vs england rugby,england v wales rugby,rugby score,itoje,england rugby score,england rugby team,england,england vs wales six nations 2026,wales,wales england rugby,arundell,england six nations,rugby scores today,live rugby today,wales v england rugby,arundell rugby,wales vs england six nations 2026,henry arundell rugby,jamie george,itoje rugby,maro itoje mother,england wales score,twickenham,england rugby captain,steve borthwick,george ford rugby,rugby england,england vs wales six nations,rugby union,england wales kick off,what time is the rugby today,wales england score,england v wales kick off,welsh rugby,england v wales score,wales rugby score,england vs wales kick off time,wales score,england rugby team today,what channel is england rugby on,six nations live,dewi lake,what time is england rugby playing today,england wales six nations,england wales kick off time,martin johnson,where to watch england vs wales,england v wales kick off time,england rugby kick off,wales rugby team,england rugby line up,rugby on tv,england rugby kick off time,england vs wales channel,what channel is england rugby on today,sam underhill,what time is england v wales kick off,england 6 nations,england v wales tv,england kick off time,kick off england v wales,wales v england kick off time,what time is rugby today,what time is kick off england v wales,what channel is england vs wales on,6 nations","./explore?q=england%20vs%20wales&geo=GB"
"newcastle vs brentford","100k+","7 February 2026 at 21:30:00 UTC+5:30",,"newcastle vs brentford,newcastle v brentford,nufc,brentford,newcastle united f.c.,newcastle united f.c,brentford fc,where to watch newcastle united f.c. vs brentford f.c.,newcastle fc,man u,newcastle brentford,keith andrews,brentford f.c.,wissa,manchester united f.c.,manchester united f.c. vs tottenham,man utd score,newcastle vs brentford prediction,man utd v tottenham,united vs tottenham,man u v tottenham,spurs,prem table,man utd vs spurs,man utd v spurs,tottenham vs man united,man utd – tottenham,man u vs spurs,manchester united f.c. vs tottenham stats,united vs spurs,manchester united fc,man u v spurs,live premier league table,man utd - tottenham,spurs vs man united,manchester united match today live,man united vs tottenham where to watch,man united vs spurs","./explore?q=newcastle%20vs%20brentford&geo=GB"
"arsenal vs sunderland","100k+","7 February 2026 at 17:40:00 UTC+5:30",,"arsenal vs sunderland,gyokeres,viktor gyökeres,arsenal v sunderland,arsenal sunderland,gyokeres stats,arsenal score,arsenal fc,victor gyökeres,arsenal f.c.,zubimendi,arsenal f.c. standings,arsenal score today,sunderland vs arsenal,epl table,arsenal vs sunderland where to watch,where to watch arsenal vs sunderland,arsenal vs sunderland live stream,arsenal f.c. vs sunderland a.f.c. stats,arsenal vs sunderland live,arsenal – sunderland","./explore?q=arsenal%20vs%20sunderland&geo=GB"
"six nations 2026 fixtures","200k+","5 February 2026 at 00:20:00 UTC+5:30",,"six nations 2026 fixtures,6 nations fixtures 2026,six nations fixtures,six nations fixtures 2026,six nations table,what channel is the six nations on,six nations where to watch,where to watch six nations,rugby on tv today,where to watch six nations 2026,rugby today on tv,what channel is six nations on,england six nations fixtures 2026,six nations schedule,rory best,rugby nations championship 2026,nations championship 2026,where to watch 6 nations,2026 nations championship,what channel is 6 nations on,six nations tv coverage","./explore?q=six%20nations%202026%20fixtures&geo=GB"
"india vs usa","100k+","7 February 2026 at 18:00:00 UTC+5:30",,"india vs usa,ind vs usa,t20 world cup,india national cricket team vs united states national cricket team standings,india national cricket team vs united states national cricket team match scorecard,t20 world cup 2026,andries gous,monank patel,icc men's t20 world cup,milind kumar,india cricket,icc t20 world cup,usa vs india,icc t20,suryakumar yadav,india national cricket team,icc t20 world cup 2026,live cricket,ind vs usa t20,usa vs ind,t20,usa cricket team,ind vs us,ind v usa,icc world cup","./explore?q=india%20vs%20usa&geo=GB"
"john virgo","200k+","4 February 2026 at 14:20:00 UTC+5:30",,"john virgo,john virgo cause of death,john virgo illness,jim davidson,what did john virgo die of,how did john virgo die,big break,john virgo death,snooker,has john virgo died,virgo,john.virgo,snooker player died,john virgo big break,where's the cue ball going,john virgo wife,rosie ries,john parrott,john virgo dead,john virgo died","./explore?q=john%20virgo&geo=GB"
"wolves vs chelsea","50k+","7 February 2026 at 19:40:00 UTC+5:30",,"wolves vs chelsea,wolves,chelsea v wolves","./explore?q=wolves%20vs%20chelsea&geo=GB"
"chappell roan","200k+","2 February 2026 at 05:50:00 UTC+5:30",,"chappell roan,chappell roan grammys,chappell roan grammy outfit,chappell roan dress,grammy,the grammys 2026,chappel roan grammys,chappell roan grammys 2026,chapel roan,bianca censori,chappel roan dress,grammys outfits,chappell roan grammy outfit 2026,chappell roan grammy,chappell roan grammys outfit","./explore?q=chappell%20roan&geo=GB"
"burnley vs west ham","20k+","7 February 2026 at 19:30:00 UTC+5:30",,"burnley vs west ham,west ham score,west ham united f.c.,burnley v west ham,west ham vs burnley,summerville","./explore?q=burnley%20vs%20west%20ham&geo=GB"
"mandelson","100k+","1 February 2026 at 15:10:00 UTC+5:30",,"mandelson,keir starmer,gordon brown,starmer,peter mandelson tony blair,keir starmer news,address,pmqs today,wiltshire,ed miliband,chris mason,peter mandelson wiltshire,mandelson scandal,rachael maskell,harriet harman,where does peter mandelson live in wiltshire,steve reed,new statesman,where in wiltshire does peter mandelson live,pmqs,emily thornberry,jeffrey epstein files,trevor phillips,mcsweeney,dan neidle,pmq,darren jones,peter mandelson wife,keir starmer resignation news,who is jeffrey epstein","./explore?q=mandelson&geo=GB"
"winter olympics","100k+","4 February 2026 at 13:00:00 UTC+5:30",,"winter olympics,olympics 2026,lindsey vonn,acl injury","./explore?q=winter%20olympics&geo=GB"
"celtic vs dundee","20k+","7 February 2026 at 22:00:00 UTC+5:30",,"celtic vs dundee,scottish cup,celtic v dundee,celtic score,celtic game,dundee fc,celtic v dundee on tv","./explore?q=celtic%20vs%20dundee&geo=GB"
"leeds united vs nottm forest","200k+","7 February 2026 at 00:30:00 UTC+5:30",,"leeds united vs nottm forest,west ham fixtures,leeds united,leeds,leeds fc,nottingham forest,leeds vs nottingham forest,leeds score,leeds v nottingham forest,dominic calvert-lewin,leeds united fixtures,leeds united vs nottingham forest,calvert lewin,leeds game,leeds utd,jayden bogle,leeds f c,leeds united games,sean dyche,lufc,leeds vs,leeds fixtures,leeds united score,leeds united f.c.,nffc,leeds united standings,noah okafor,leeds united vs nottingham forest stats,leeds v forest,daniel farke,nottingham forest f.c.,forest score,james justin,leeds united vs nottingham forest lineups,murillo,leeds nottingham forest,leeds vs forest,dan james,daniel james,okafor,leeds forest,ilia gruev,leeds united vs nottingham forest standings,opta stats","./explore?q=leeds%20united%20vs%20nottm%20forest&geo=GB"
"bournemouth vs aston villa","50k+","7 February 2026 at 19:30:00 UTC+5:30",,"bournemouth vs aston villa,rayan,aston villa,villa,aston villa fc,aston villa f.c.,villa score,avfc,aston villa vs bournemouth,rayan bournemouth","./explore?q=bournemouth%20vs%20aston%20villa&geo=GB"
"bad bunny","100k+","1 February 2026 at 23:40:00 UTC+5:30",,"bad bunny,bad bunny songs","./explore?q=bad%20bunny&geo=GB"
"barcelona vs mallorca","20k+","7 February 2026 at 19:50:00 UTC+5:30",,"barcelona vs mallorca,fc barcelona – mallorca,barcelona - r.c.d. mallorca","./explore?q=barcelona%20vs%20mallorca&geo=GB"
"fulham vs everton","20k+","7 February 2026 at 19:30:00 UTC+5:30",,"fulham vs everton,everton,fulham v everton,everton fc,everton f.c.,everton f.c","./explore?q=fulham%20vs%20everton&geo=GB"
"alex oxlade-chamberlain","50k+","2 February 2026 at 21:50:00 UTC+5:30",,"alex oxlade-chamberlain,oxlade chamberlain,celtic,celtic f.c,celtic transfer news,celtic news,bakayoko,tiemoue bakayoko,alex oxlade chamberlain","./explore?q=alex%20oxlade-chamberlain&geo=GB"
"specsavers lorry driver lawsuit","20k+","7 February 2026 at 13:40:00 UTC+5:30",,"specsavers lorry driver lawsuit","./explore?q=specsavers%20lorry%20driver%20lawsuit&geo=GB"
